134,2008-12-13,2009 Calendar Making #2,
135,2008-12-20,You & Me Concert #1,"Notable performances include Big Bag song ""Haru Haru"" (a parody on Big Bang) and the instrumental pi"
136,2008-12-27,You & Me Concert #2,"Notable performances include Big Bag song ""Haru Haru"" (a parody on Big Bang) and the instrumental pi"
137,2009-01-17,You & Me Concert #3,"Notable performances include Big Bag song ""Haru Haru"" (a parody on Big Bang) and the instrumental pi"
138,2009-01-24,The Great Bobsleigh Challenge #1,
139,2009-01-31,The Great Bobsleigh Challenge #2,Kang Kwang-bae
140,2009-02-07,The Great Bobsleigh Challenge #3,Kang Kwang-bae
141,2009-02-14,Boys Over Flowers Parody,
142,2009-02-21,"""Gee"" Parody",
143,2009-02-28,Personality Test and Treatment,"Song Hyung-suk (psychoanalyst), Chun Soo-jung (comedian)"
144,2009-03-07,Women's Day - What Women Want Special,Girls' Generation
145,2009-03-14,Six Brothers and Sisters,
146,2009-03-21,Korean Dol+I The Search of NHC Number 2,
147,2009-03-28,Project Runaway,
148,2009-04-04,Punishment Day,
149,2009-04-11,Life Theater: Yes or No #1,
150,2009-04-18,Life Theater: Yes or No #2,
151,2009-04-25,Yuna Kim Special ( Figure Skater),Yuna Kim Gil becomes a regular member.
152,2009-05-02,Photo Contest - Around the World in a Day???,
153,2009-05-09,ChunHyang Special,
154,2009-05-16,General Park's Surprise Attack,
155,2009-05-23,Cameo in Queen of Housewives,
156,2009-05-30,Who wants to be a Millionaire #1,
157,2009-06-06,Who wants to be a Millionaire #2,
158,2009-06-20,Pimple Break #1,
159,2009-06-27,Pimple Break #2,
160,2009-07-04,2009 Infinite Challenge Olympic Highway Duet Song Festival #1,"Yoon Mi-rae, Tiger JK, Epik High, No Brain, Jessica (Girl's Generation), After School & YB"
161,2009-07-11,2009 Infinite Challenge Olympic Highway Duet Song Festival #2,"Yoon Mi-rae, Tiger JK, Epik High, No Brain, Jessica (Girl's Generation), After School & YB"
162,2009-07-18,2010 Calendar Making #1,
163,2009-07-25,Future Liger's appearance in Show! Music Core and behind the scenes,"Tiger JK, Yoon Mi-rae, Kim Sung-soo"
164,2009-08-01,"Tell Me Your Wish, Park Myeong-su",
165,2009-08-08,Survivor #1,"Son Ho-young, Bae Jung-nam, Sangchu (Mighty Mouth), Kim Kyung-jin, K.Will, 2PM (Jae Bum & Junho), Jo"
166,2009-08-15,Survivor #2,"Son Ho-young, Bae Jung-nam, Sangchu (Mighty Mouth), Kim Kyung-jin, K.Will, 2PM (Jae Bum & Junho), Jo"
167,2009-08-22,Survivor #3,"Son Ho-young, K.Will, Junho (2PM), Jo Se-ho (as Yang Bae-chu), Park Hwi-sun, Lee Sung-jin"
168,2009-08-29,Summer Special - Blast to the Past!,
169,2009-09-05,Catch the Tail Race #1,
170,2009-09-12,Catch the Tail Race #2,
171,2009-09-19,"Home Shopping Special #1 - Hotseller Guys! IC members become ""goods"" for sale",Comedian Ahn Young-mi and actress Yoo Ji-eun
172,2009-09-26,Home Shopping Special #2 - Hotseller Guys!,
173,2009-10-03,TV Channel the Entire Day #1,"Park Hwi-sun, Sangchu (Mighty Mouth), K.Will, Kim Kyung-jin"
174,2009-10-10,TV Channel the Entire Day #2,"Heo Il-woo (commentator), K.Will, Kim Kyung-jin, Sunwoo Yong-nyeo, Lee Kyung-sil, Kim Ji-sun, Jo Hye"
175,2009-10-17,Infinite Challenge Long Term Project - Rice Planting Special #1,Bae Kwang-hyuk (village chairman)
176,2009-10-24,Infinite Challenge Long Term Project - Rice Planting Special #2,"Choi Jung-hoon, 2PM"
177,2009-10-31,Infinite Challenge Long Term Project - Rice Planting Special #3,"Kim Bum, Kara, Lee Min-woo (Shinhwa), Mithra Jin & Tablo (Epik High), Byun Ki-soo, Bada, Jewelry Jun"
178,2009-11-07,Korean Food Challenge #1,
179,2009-11-14,Korean Food Challenge #2,
180,2009-11-21,Korean Food Challenge in New York #1,
181,2009-11-28,Korean Food Challenge in New York #2,
182,2009-12-05,The Devil Wears Gurida not Prada???,
183,2009-12-12,Goodbye New York,
